passage_id,query,label,stance,stance_confidence,title,section_heading,url,author,medically_reviewed_by,published_date,text,faiss_similarity,cross_encoder_relevance,labeled_at
fbd99ff2b46d888993ec1a586db142aaaf29e604_s22_b2,COVID-19 case numbers in the U.S. are inflated due to the high sensitivity of the RT-PCR diagnostic test,relevant,refutes,0.95,Coronavirus Antibody Testing,,https://www.webmd.com/lung/antibody-testing-covid-19,"Keri Wiginton, Amy Gopal","Jabeen  Begum, MD",2024-01-05,A highly sensitive COVID-19 antibody test will identify most people who truly have antibodies. Only a small number of people with antibodies may be missed by the test (false negatives).,0.9471224546432495,0.9224960207939148,2026-01-28T13:16:18.226357
f14f5d175c5ee6eeddfd58d3ced0be17ee887d5b_s3_b0,Spraying chlorine or alcohol on the skin kills viruses in the body,relevant,refutes,0.95,Rubbing Alcohol vs. Hydrogen Peroxide,,https://www.webmd.com/first-aid/difference-between-rubbing-alcohol-hydrogen-peroxide,Shawna Seed,"Shruthi  N, MD",2024-12-19,"Hydrogen peroxide is another antiseptic, or disinfectant, that kills viruses and various forms of bacteria. But it needs more time than rubbing alcohol to kill germs. It takes up to five minutes to do its job. Hydrogen peroxide also can kill the virus causing COVID.",0.941361129283905,0.9795029163360596,2026-01-28T13:16:18.841537
f14f5d175c5ee6eeddfd58d3ced0be17ee887d5b_s2_b1,Spraying chlorine or alcohol on the skin kills viruses in the body,relevant,refutes,0.95,Rubbing Alcohol vs. Hydrogen Peroxide,Rubbing Alcohol vs. Hydrogen Peroxide for Killing Germs,https://www.webmd.com/first-aid/difference-between-rubbing-alcohol-hydrogen-peroxide,Shawna Seed,"Shruthi  N, MD",2024-12-19,"Rubbing alcohol is effective against bacteria such as E. coli and staph, killing them within 10 seconds. It's also good at killing the virus that causes COVID-19 when used on surfaces such as countertops.",0.9395374655723572,0.9680266380310059,2026-01-28T13:16:18.843716
cfcf416a869ddb8a638ce3852c82b6d9311600b2_s18_b2,Only older adults and young people are at risk,relevant,refutes,0.95,Diastole vs. Systole: Know Your Blood Pressure Numbers,What Is Isolated Systolic Hypertension?,https://www.webmd.com/hypertension-high-blood-pressure/diastolic-and-systolic-blood-pressure-know-your-numbers,Hirania Luzardo,Poonam  Sachdev,2025-02-13,Older adults are more likely to have this condition. But it can also appear in younger people with some health conditions.,0.9380232691764832,0.7948309779167175,2026-01-28T13:16:19.257697
cfcf416a869ddb8a638ce3852c82b6d9311600b2_s19_b2,Only older adults and young people are at risk,relevant,refutes,0.95,Diastole vs. Systole: Know Your Blood Pressure Numbers,What Is Isolated Diastolic Hypertension?,https://www.webmd.com/hypertension-high-blood-pressure/diastolic-and-systolic-blood-pressure-know-your-numbers,Hirania Luzardo,Poonam  Sachdev,2025-02-13,This condition is more common in younger adults and people with health risks such as obesity and metabolic issues.,0.9379370808601379,0.9295701384544373,2026-01-28T13:16:19.260206
23dfafb1385a0232682d6c3ffc5fb5ccea0d61c8_s23_b0,Only older adults and young people are at risk,relevant,refutes,0.95,Japan Radiation Risks: FAQ,What are the health effects of radiation?,https://www.webmd.com/cancer/features/cm/japan-nuclear-plant-radiation-risks-faq,Gina Shaw,"Laura J. Martin, MD",2011-04-14,"Radiation risks are different for people at different stages of life:
Radiation has harmful effects on child development.
Radiation can induce cancers that appear years after an adult is exposed.
Elderly people's cells may have reduced ability to repair damage from radiation.",0.9378509521484375,0.8128705620765686,2026-01-28T13:16:19.262856
53a5224ab29a2a4f9fd7e5357e58cc1a11b85c6e_s1_b3,Only older adults and young people are at risk,relevant,refutes,0.95,What Causes Depression?,What Are the Main Causes of Depression?,https://www.webmd.com/depression/cm/causes-depression-1,"Debra Fulghum Bruce, PhD, Shawna Seed","Jabeen  Begum, MD",2024-04-22,"Age. If you're elderly, you're at a higher risk of depression. And factors such as living alone and lacking social support can add to the risk.",0.9369292259216309,0.9296044111251831,2026-01-28T13:16:19.265807
d37409c2a7cae6e6c5afcd7b7b3f6ca85a1249e5_s0_b0,Children cannot get COVID-19,relevant,refutes,0.95,Coronavirus in Kids and Babies,What’s My Child’s Risk of Getting the Coronavirus?,https://www.webmd.com/covid/coronavirus-covid-19-babies-children,Hallie Levine,"Melinda  Ratini, MS, DO",2024-10-30,"Children can get the coronavirus that causes COVID-19, but their symptoms tend to be milder than adults’ symptoms, and in many cases, they may have no symptoms at all. Their risk of getting COVID-19 is about the same as that of adults. The risk can be drastically reduced if your child receives the COVID-19 vaccine.",0.95,0.9998568296432495,2026-01-28T13:16:19.776544
1711e83570294e95080f52217a07771360852071_s4_b4,Children cannot get COVID-19,relevant,refutes,0.95,Many Parents Struggling to Find COVID Shots for Kids,,https://www.webmd.com/children/vaccines/news/20230925/cm/now-is-the-time-for-kids-to-get-covid-vaccines,"Liz Scherer, Lisa O'Mary",,,"Still, more than half of U.S. children between the ages of 6 months and 17 years have not received a first COVID-19 shot, according to the American Academy of Pediatrics. What’s more, concerns – often misguided-- about the safety of the COVID-19 vaccines and the potential for long-term side effects in children and adolescents – like an inflamed heart muscle ( myocarditis ) or multisystem inflammatory syndrome ( MIS-C , a severe immune response that affects multiple organs) – continue to impact parents’ and caregivers’ choice whether to vaccinate their children or not.",0.95,0.9997342228889465,2026-01-28T13:16:19.780592
35afcc69b33cbb91a80931fd1ad83ae7323ae37d_s11_b0,Children cannot get COVID-19,relevant,refutes,0.95,What Are Booster Shots?,,https://www.webmd.com/vaccines/vaccine-booster-shots,Shishira Sreenivas,"Sabrina  Felson, MD",2024-03-05,"It suggests that everyone aged 5 years and older get one dose of an updated COVID-19 vaccine to protect against serious illness. Children aged 6 months–4 years need multiple doses of COVID-19 vaccines to be up to date, including at least 1 dose of updated COVID-19 vaccine.",0.9494088888168335,0.9981032609939575,2026-01-28T13:16:19.784052
94f4cabd6bb3776cd6ef8aae372d482975a130b1_s1_b2,Children cannot get COVID-19,relevant,refutes,0.95,Immunizations for Children During COVID-19,Importance of Vaccines,https://www.webmd.com/vaccines/covid-19-vaccine/cm/child-immunization-plan,Alyson Powell Key,"Jabeen  Begum, MD",2024-07-21,Doctors have also added a COVID-19 vaccine to their recommendations for children. There are COVID vaccines available for those as young as 6 months.,0.9491504430770874,0.9974217414855957,2026-01-28T13:16:19.788197
40db344fdf9f3970fe2cd46b69727250e7519fd9_s0_b1,COVID-19 is just like the flu,relevant,refutes,0.95,COVID-19 Vaccines,,https://www.webmd.com/vaccines/covid-19-vaccine/covid-19-vaccine,"Alicia Racelis, PhD, Alexandra Benisek","Jabeen  Begum, MD",2025-09-04,"Your risk of serious coronavirus illness is similar to or higher than that of the flu, depending on your age and medical conditions. COVID-19 is now seasonal, like colds and influenza. Historically, we would use a vaccine to help control it. But this fall, the COVID-19 vaccine may be limited.",0.95,0.9996484518051147,2026-01-28T13:16:20.384648
f4af9ef5c930b94cd0cae1587ef82b8f8a4fac46_s16_b0,COVID-19 is just like the flu,relevant,refutes,0.95,Why Some Adults Are More Susceptible to More Serious RSV,COVID or RSV?,https://www.webmd.com/lung/cm/rsv-adults-at-risk,,,,"Symptoms of COVID-19 and RSV are similar because they’re both viruses that set up shop in your respiratory system. It can be hard to know exactly what you have. Your doctor may suggest a COVID test to rule that out. RSV infections can weaken your immunity and put you at higher risk of getting COVID. If you get both at the same time, it can be especially dangerous. Make sure you’re up to date on your COVID vaccinations to protect yourself from serious disease. Don’t forget to get your annual flu shot, too.",0.95,0.9960910677909851,2026-01-28T13:16:20.389156
78b0fe3eefaf1e5e3071f45792647ec89807f759_s1_b0,Everyone with COVID-19 dies,relevant,refutes,0.95,COVID Vaccines Compared,,https://www.webmd.com/vaccines/covid-19-vaccine/cm/covid-vaccines-compared,Alexandra Benisek,"Carol  DerSarkissian, MD",2022-10-25,"Vaccines continue to lower your risk for severe disease, hospitalization, and death, even against the widespread Delta variant of COVID-19.",0.95,0.8923314213752747,2026-01-28T13:16:20.835164
e9ae56fd46509e0adf12eb8948070f63ab9e9330_s3_b2,Everyone with COVID-19 dies,relevant,refutes,0.95,Coronavirus and High Blood Pressure: What’s the Link?,,https://www.webmd.com/covid/coronavirus-high-blood-pressure,Stephanie Watson,"Melinda  Ratini, MS, DO",2024-11-05,But other large studies found no ties between the use of these drugs and how severe COVID-19 is. Still other research suggests that they may make COVID-19 less severe. There’s also no proof that people have less severe illness after stopping them.,0.95,0.5615382790565491,2026-01-28T13:16:20.840087
8f935e1259b6ec0e5191344bab779fe3f5d3663b_s9_b1,Everyone with COVID-19 dies,relevant,refutes,0.95,Coronavirus and Pneumonia,Are There Treatments for COVID-19 Pneumonia?,https://www.webmd.com/covid/covid-and-pneumonia,Susan Bernstein,"Melinda  Ratini, MS, DO",2024-10-29,"Other treatments are available to treat people who have been hospitalized for severe COVID-19, including steroids and other medications that work with the immune system, and the antiviral Remdesivir. ( Veklury ).",0.95,0.8995704054832458,2026-01-28T13:16:20.845478
