passage_id	query	label	stance	stance_confidence	title	section_heading	url	author	medically_reviewed_by	published_date	text	faiss_similarity	cross_encoder_relevance	labeled_at
8b0bbdf5edde63b5012d9f0d305dfefa213fa5de_s1_b2	A baby died at an unnamed medical facility because its parents refused to allow a black nurse to care for the child.	relevant	supports	0.9593706017103115	Pregnant Women Face Risk Despite Federal ER Law	Lack of Birthing Services	https://www.webmd.com/health-insurance/news/20181129/cm/women-in-labor	Brenda Goodman, MA, Andy Miller			The law received its name, in part, because of a woman in labor in California who was refused treatment by two private hospitals even though medical tests showed her baby was in distress. The hospitals mistakenly thought she was uninsured. By the time she arrived at the public hospital, where doctors rushed to perform an emergency C-section, her baby had died.	0.9300732016563416	0.5874786972999573	2026-01-27T14:05:52.217047
5da3c280a1a1c74140cfd95529d00d1ca9f50719_s3_b3	New blood test may transform the way cancer is monitored and treated	relevant	supports	0.9929296757806267	When Polycythemia Vera Turns Into Another Cancer	How Do You Know if Your Disease Is Changing?	https://www.webmd.com/cancer/lymphoma/polycythemia-vera-changes-other-cancer	Sharon Liao	Neha  Pathak, MD	2025-10-22	"To diagnose a new blood cancer, your doctor will order more tests. They may include:
Blood tests
Gene tests
Bone marrow tests"	0.95	0.737337052822113	2026-01-27T14:05:57.133693
a991138ba065cba99bf98ada5b0961b44b4cc43f_s16_b1	Researchers develop automated melanoma detector for skin cancer screening	relevant	supports	0.992890088569204	5 Lifesaving Health Care Screening Tests for Women	No. 5 Skin Sense and Sensibility	https://www.webmd.com/women/features/5-lifesaving-health-care-screening-tests-for-women	Denise Mann	Ann  Edmundson, PhD, MD	2006-05-11	There's a reason a skin exam is one of the most important health care screening tests, experts say. Melanoma accounts for about 4% of skin cancer cases, but it causes most skin cancer deaths. The number of new cases of melanoma in the U.S. is on the rise. In fact, the ACS estimates that in 2006 there will be 62,190 new cases of melanoma in this country. About 7,910 people will die of this disease.	0.9167172908782959	0.324972540140152	2026-01-27T14:06:01.227341
f780ac85bc85d7f38a1b77c00f20b672f21d5824_s18_b4	New DNA Tests Aimed at Reducing Colon Cancer	relevant	supports	0.9964419063798706	50 Years of Milestones in the Fight Against Cancer		https://www.webmd.com/cancer/features/cm/fifty-years-of-milestones-in-cancer-research	Daniel J. DeNoon	Louise  Chang, MD	2005-04-12	Researchers announce a new screening test for colon cancer that detects specific genetic abnormalities in stool samples of up to 70% of patients with colon cancer.	0.95	0.9708313345909119	2026-01-27T14:06:02.282599
58a39f3c2b482d50a2dca97dbb4ff06a72d0e1c4_s20_b0	New DNA Tests Aimed at Reducing Colon Cancer	relevant	supports	0.962195163648804	Which Cancers Take the Most Lives?		https://www.webmd.com/cancer/leading-causes-cancer-deaths	Stephanie Watson	Laura J. Martin, MD	2025-03-26	"New tests, including ones that look for certain genes in colon tumors, could make this cancer even easier to find early. And one promising treatment uses cancer vaccines to ""train"" the immune system to attack colon cancer cells. Those vaccines treat cancer, but they don’t prevent it."	0.9490317702293396	0.9283910393714905	2026-01-27T14:06:03.017560
a0e027b915356bf00aa03cb3332b44f740821436_s4_b0	Application of Vicks VapoRub to the soles of children's feet effectively counters nighttime cough.	relevant	supports	0.9953833144464298	Remedies for Toenail Fungus	Vicks VapoRub	https://www.webmd.com/skin-problems-and-treatments/remedies-toenail-fungus	WebMD Editorial Contributor	Stephanie S. Gardner, MD	2024-09-19	Vicks VapoRub is a product marketed for people with coughs . However, it may also be effective against toenail fungus. One small study showed that after applying it topically each day for 48 weeks, 27.8% of participants fully cured their nail fungus — and 55.6% of participants saw partial improvement. However, more study is needed.	0.95	0.9240218997001648	2026-01-27T14:06:06.247024
62a30b52f9bb3d7d0f950103538c938f845916c9_s0_b1	Palliative Care Consults for Patients with Advanced Cancers Reduces Hospitalization and Improves Quality of Care	relevant	supports	0.9820008840200504	Palliative Care for Lung Cancer		https://www.webmd.com/lung-cancer/palliative-care-lung-cancer	Susan Bernstein	Laura J. Martin, MD	2025-03-29	That’s where palliative care comes in. It can help ease those symptoms and improve your daily life. It’s a range of therapies that help you feel better and help you manage your cancer and treatments. You can get it at any stage of your condition. You may also hear it called supportive care.	0.95	0.851382851600647	2026-01-27T14:06:07.169817
d4803b8e12b3f532bfdeea8caeb8a61d75501034_s42_b0	Palliative Care Consults for Patients with Advanced Cancers Reduces Hospitalization and Improves Quality of Care	relevant	supports	0.9699624071139075	Throat Cancer: What to Know	Palliative or supportive care	https://www.webmd.com/oral-health/throat-cancer-symptoms-treatments	Kendall K. Morgan, Kathryn Whitbourne	Jabeen  Begum, MD	2024-10-28	Palliative care is focused on relieving pain or improving quality of life. Your doctor can prescribe medication to help you manage pain when you have cancer at any stage.	0.95	0.9794526100158691	2026-01-27T14:06:07.642218
ced64a49190ec8a5e4b4aa63ab6d52d1a026b851_s0_b2	Palliative Care Consults for Patients with Advanced Cancers Reduces Hospitalization and Improves Quality of Care	relevant	refutes	0.9482040869824966	Palliative Care for Chronic Lymphocytic Leukemia		https://www.webmd.com/cancer/lymphoma/cll-palliative-care	Stephanie Watson	Laura J. Martin, MD	2025-04-07	Palliative care isn't the same as hospice care. Hospice helps manage symptoms at the end of life after you've stopped all cancer treatments. Palliative care aims to prevent or relieve suffering and help you feel better while you're on treatment. You can get palliative care at any stage of your illness.	0.95	0.5526836514472961	2026-01-27T14:06:08.269235
d760e0647482c0463d8b19fc90e2492121cbabe7_s13_b0	Palliative Care Consults for Patients with Advanced Cancers Reduces Hospitalization and Improves Quality of Care	relevant	supports	0.979617564519192	When Your Follicular Lymphoma Has Relapsed		https://www.webmd.com/cancer/lymphoma/relapse-follicular-lymphoma				People often confuse palliative care with hospice care, but they aren't the same. Hospice care is given at the end of life. You can get palliative care alongside cancer treatment. A typical palliative care program includes: Treatments to reduce your pain and relieve your cancer symptoms Emotional and spiritual support Physical therapy and occupational therapy to make your daily tasks easier Financial advice on managing the cost of your treatments	0.95	0.9114342927932739	2026-01-27T14:06:08.864388
