passage_id,query,label,stance,stance_confidence,title,section_heading,url,author,medically_reviewed_by,published_date,text,faiss_similarity,cross_encoder_relevance,labeled_at
282304fbd604f6dacf77c3a99fc0787d50cc4b42_s4_b2,Regular physical activity lowers the risk of type 2 diabetes.,unrelated,,,Stress May Lead to Metabolic Syndrome. Here's How to Overcome It,,https://www.webmd.com/heart/metabolic-syndrome/news/20240301/cm/how-to-ease-stress-and-metabolic-syndrome,"Kelly Wairimu Davis, MS",,,"“People miss out on trying to make sure that at least two of those activity sessions per week are resistance exercise,” Ponder said. “So, whether it's body weight or weightlifting , that really plays a large role in preventing the development of insulin resistance and metabolic syndrome.”",0.9463490843772888,0.17087052762508392,2026-01-26T19:33:38.946608
3cff7f52e042f848d93f9c3125a4da242fcf41c8_s18_b1,Regular physical activity lowers the risk of type 2 diabetes.,unrelated,,,Diseases Linked to High Cholesterol,Quit,https://www.webmd.com/cholesterol-management/diseases-linked-high-cholesterol,"Katie Cameron, Hirania Luzardo","James  Beckerman, MD, FACC",2025-09-04,"Get moving. Even modest amounts of exercise, like half an hour a day of brisk walking, help you control weight. It’s also good for other things that put you at risk for heart disease, like diabetes and high blood pressure. Exercise can lower your triglyceride levels and raise your HDL cholesterol. Both are good for your heart.",0.9462333917617798,0.3184378445148468,2026-01-26T19:33:54.747554
c77315d68b73839eab84564a73b199c27081e8c2_s37_b2,Regular physical activity lowers the risk of type 2 diabetes.,unrelated,,,Geographic Atrophy,"If you smoke, quit.",https://www.webmd.com/eye-health/macular-degeneration/geographic-atrophy,Keri Wiginton,Tim,2025-08-01,"Exercise regularly. Physical activity boosts your overall well-being, helps you maintain a healthy weight, and guards against other health conditions.",0.9457784295082092,0.33203065395355225,2026-01-26T19:34:12.485102
334962231476b88840e85cd98eba3a210112e21e_s10_b0,Regular physical activity lowers the risk of type 2 diabetes.,unrelated,,,What Is a Lipoprotein (a) Test?,Can I Lower My Lipoprotein (a) Levels?,https://www.webmd.com/heart-disease/what-is-lipoprotein-test,Jeffrey Weishaupt,"James  Beckerman, MD, FACC",2024-02-14,"Although lifestyle does not have a significant impact on your lipoprotein (a) levels, there are a few things you can do to reduce the risk factors for developing heart disease:
Maintain a healthy diet. A healthy diet low in saturated fats can keep you safe from heart disease. You should also cut out refined carbs and processed foods from your diet. Instead, eat healthy greens and foods with fiber.
Control your weight. Obesity is another risk factor for heart disease. Losing weight can help keep heart problems at bay, especially if you have high lipoprotein (a) levels.
Quit smoking. Smoking puts you at risk for heart disease and lung cancer . Therefore, quitting smoking can help take you toward a healthier lifestyle.
Exercise regularly. Your doctor will advise you to exercise regularly to maintain your heart health. As a general rule, you should do moderate physical activity for 30 minutes every day for at least 5 days a week.",0.9446869492530823,0.1328742802143097,2026-01-26T19:34:37.423242
e8cd65e27426b5066b8dced92142d3781c169d56_s1_b0,Regular physical activity lowers the risk of type 2 diabetes.,unrelated,,,How to Maximize Your Fitness Despite Return-to-Office Orders,,https://www.webmd.com/fitness-exercise/news/20250403/cm/how-to-maximize-your-fitness-despite-return-to-office-orders,Amanda Loudin,,,"Research has long revealed that sedentary lifestyles contribute to heart disease, diabetes, obesity, and premature death. But you can offset the damage with as little as five hours of moderate-intensity exercise a week, or 2½ hours of intense exercise. Experts point to several ways to maintain fitness despite time constraints. And for some, a tighter schedule can help.",0.9438144564628601,0.2638818621635437,2026-01-26T19:35:22.879876
f1e685016b3a74c4c83b6433c298a7c7e4de9433_s11_b0,Regular physical activity lowers the risk of type 2 diabetes.,unrelated,,,Lower Your High Cholesterol,Exercise.,https://www.webmd.com/cholesterol-management/lower-cholesterol-risk,WebMD Editorial Contributors,"Jennifer  Robinson, MD",2024-11-20,"Regular exercise can lower LDL cholesterol and raise HDL cholesterol. It's also good for your blood pressure and strengthens your heart. Aim to get 2 hours and 30 minutes of moderate aerobic activity per week (like brisk walking), or 1 hour and 15 minutes of harder exercise (such as jogging) per week.",0.9425987601280212,0.20842847228050232,2026-01-26T19:36:05.154868
00c3b23cc86d3fa0ff93563ffe81618651764c10_s6_b0,Regular physical activity lowers the risk of type 2 diabetes.,unrelated,,,What to Know About Foot Problems with PAD,What Lifestyle Changes Can I Make to Reduce Foot Pain Caused by PAD?,https://www.webmd.com/heart-disease/what-to-know-foot-problems-peripheral-artery-disease,Jessica Mousseau,"James  Beckerman, MD, FACC",2024-02-13,"When you’re looking for PAD pain relief, certain lifestyle changes can help reduce PAD symptoms, including: ‌
Stopping smoking. Quitting smoking helps slow the development of peripheral artery disease and helps to lower blood pressure.
Eating a balanced diet. A diet high in fiber and low in cholesterol, sodium, and unhealthy fats is best. Losing weight can help raise your HDL (good) cholesterol and lower your total cholesterol.
Getting active. Exercise, especially walking, is great for patients who have foot problems with PAD. Those who walk regularly experience improvement in leg pain. Take intermittent breaks when you’re experiencing PAD foot pain during your workout. PAD develops over a long time period, and improvement will take some time, too.‌
Taking care of your health. It’s important to manage any health conditions you have, whether high blood pressure, high cholesterol, or diabetes, to feel your best. ‌",0.9422957897186279,0.004204820841550827,2026-01-26T19:36:17.404300
2b220272514f194c31c20d62f944432bf31c88b2_s15_b2,Regular physical activity lowers the risk of type 2 diabetes.,unrelated,,,How Is Obesity Treated?,Exercise to be active,https://www.webmd.com/obesity/understanding-obesity-treatment,WebMD Editorial Contributors,"Brunilda  Nazario, MD",2023-01-06,"Being active can help your body lose excess fat weight by burning calories and helps prevent muscle loss while dieting. Many people use diet and exercise to lose weight. Working out offers general health benefits, too. Likewise, being less sedentary is linked to improved health outcomes. Regular exercise helps keep the weight off.",0.9421269297599792,0.002061843639239669,2026-01-26T19:36:27.626886
c4ec7d87bd014b8d879aadeb497d781e4cea8f8f_s21_b2,Regular physical activity lowers the risk of type 2 diabetes.,unrelated,,,"Obesity: Symptoms, Causes, Treatment",Procedures and surgeries for obesity,https://www.webmd.com/obesity/what-obesity-is,Sylvia Davis,Poonam  Sachdev,2023-06-28,"These procedures may not only help with weight loss but also improve weight-related conditions like type 2 diabetes and heart disease. If you get one of them, you'll still need to adopt healthy lifestyle changes.",0.9413594007492065,0.015271788462996483,2026-01-26T19:36:41.956660
c97fb58d934c755a365b36689fb2bf080a840439_s2_b2,Long-term corticosteroid use can lead to osteoporosis.,unrelated,,,Healthy Aging With Rheumatoid Arthritis,Lungs.,https://www.webmd.com/rheumatoid-arthritis/healthy-aging-with-rheumatoid-arthritis,Linda Rath,"David  Zelman, MD",2024-06-01,"Bones. Osteoporosis – fragile bones more likely to fracture – is a serious side effect of prednisone and other steroid medications you may take for your RA. This is especially true for older folks whose bones are often fragile to begin with. If your doctor prescribes a steroid, ask if you can try a different medicine. Or use the lowest dose of steroids for the shortest time possible. Add calcium and vitamin D supplements to help protect your bones.",0.95,0.02948598563671112,2026-01-26T19:40:00.804813
27ec18ad862cdb147cf0883d69bc5ba09deb0f31_s10_b3,Long-term corticosteroid use can lead to osteoporosis.,unrelated,,,What Is Uveitis?,How Is It Treated?,https://www.webmd.com/eye-health/noninfectious-uveitis,Mary Jo DiLonardo,Tim,2025-04-25,"If you take oral steroids for a long time, you may have side effects, like cataracts, stomach ulcers , bone thinning (your doctor will call this osteoporosis), diabetes , and weight gain . Ask them how the treatment may affect you.",0.95,0.0150873102247715,2026-01-26T19:40:00.809061
885706f954d9764182fa919ceb05456680e9b056_s2_b1,Long-term corticosteroid use can lead to osteoporosis.,unrelated,,,Treating cITP With Medication,,https://www.webmd.com/a-to-z-guides/itp-treatments,Linda Rath,"Shruthi  N, MD",2024-08-14,"You usually don’t take steroids for long. They can cause serious side effects, like:
Cataracts
High blood sugar
High blood pressure
Mood changes
Heart problems
Weak bones (a condition called osteoporosis)",0.95,0.00882387813180685,2026-01-26T19:40:33.829617
2279589b85a5e5c80c665ba340abc0fe216759cc_s15_b4,Long-term corticosteroid use can lead to osteoporosis.,unrelated,,,Crohn’s Disease: How Do I Get to Remission?,How to Stay in Remission,https://www.webmd.com/ibd-crohns-disease/crohns-disease/crohns-remission,WebMD Editorial Contributors,"Melinda  Ratini, MS, DO",2025-04-29,"Steroids can cause severe side effects, like bone loss , if you use them too long. Your doctor will probably slowly cut down and stop them as you start other treatments.",0.95,3.653817475424148e-05,2026-01-26T19:40:33.833642
56bc096826008d0392bd3fd2a0a7a294692d76c0_s14_b1,Long-term corticosteroid use can lead to osteoporosis.,unrelated,,,Corticosteroids for Multiple Myeloma,,https://www.webmd.com/cancer/multiple-myeloma/steroids-multiple-myeloma,Janie McQueen,"Jennifer  Robinson, MD",2024-06-15,"Doctors try to identify people at high risk for osteoporosis before starting them on steroids. They’ll likely use the lowest dose possible for as short a time as possible, or sub in another type of drug. Medicines called biphosphonates are often used to combat the bone thinning that steroids can cause.",0.95,0.14089299738407135,2026-01-26T19:41:14.177350
66ecf66f7c2940fd63b36f4857f73c4c23a28ee4_s8_b0,Long-term corticosteroid use can lead to osteoporosis.,unrelated,,,Polymyalgia Rheumatica Treatment Plan,Calcium and Vitamin D,https://www.webmd.com/arthritis/cm/pmr-treatment-options,,,,"Steroid medicines can weaken your bones and raise your chances of a fracture. If you have to stay on these medicines for 3 months or longer, your doctor might recommend that you take calcium and vitamin D supplements to keep your bones strong. And if you are at high risk for a fracture, you might also take medicines called bisphosphonates to slow bone loss.",0.95,0.00012656337639782578,2026-01-26T19:41:14.181667
dc4b60af51b78273740a3502ad3b620c5a2e0778_s6_b4,Chronic stress contributes to anxiety disorders.,unrelated,,,Anxiety Disorders,Selective mutism,https://www.webmd.com/anxiety-panic/anxiety-disorders,"Kristin Mitchell, WebMD Editorial Contributor","Jabeen  Begum, MD",2024-05-06,"With these conditions, your anxiety may not fit into any other category but is significant enough to cause stress and other symptoms.",0.9397141933441162,0.5453087091445923,2026-01-26T19:43:39.763610
cde2410d0b8bc8ccf1ee7731b7bf0239dc693c57_s6_b0,Vitamin D supplementation prevents fractures in community‑dwelling older adults.,unrelated,,,How Much Vitamin D Do I Need?,Why do people take vitamin D?,https://www.webmd.com/diet/cm/supplement-guide-vitamin-d,R. Morgan Griffin,"Kathleen M. Zelman, RD, LD, MPH",2025-07-25,"Vitamin D helps the body absorb calcium and phosphorus from the food you eat. So the nutrient is especially important for people with osteoporosis. Studies show that calcium and vitamin D together can build stronger bones in women after menopause. It also helps with other disorders that cause weak bones, like rickets. If you’re concerned about your bone health, ask your doctor if you should think about taking a supplement. People who have low levels of vitamin D also may need supplements. That includes those who:
Are over 50
Get very little sun
Have kidney disease or conditions that affect how their bodies absorb minerals
Have darker skin
Are lactose intolerant , meaning they can’t digest the sugar in dairy foods
Are vegan
Are infants who eat only breast milk
Those who take certain anticonvulsant drugs",0.95,0.020029326900839806,2026-01-26T19:48:15.292745
5c96a303ecfca7b6b862695b1c5c4f0336858636_s1_b4,Vitamin D supplementation prevents fractures in community‑dwelling older adults.,unrelated,,,Foods High in Vitamin D3,Why You Need Vitamin D3,https://www.webmd.com/diet/foods-high-in-vitamin-d3,WebMD Editorial Contributor,"Kathleen M. Zelman, RD, LD, MPH",2024-09-23,"Doctors discovered vitamin D when they were studying rickets , a children's bone disorder. Today rickets is rare, but vitamin D is still needed for bone health. It's especially important for women past menopause, who are at risk of osteoporosis. Vitamin D is also used to treat a more serious bone condition called osteomalacia (softening of bones). Vitamin D allows the body to absorb calcium . Without vitamin D, the body uses only a small percentage of the calcium in food .",0.95,0.019950002431869507,2026-01-26T19:48:15.297572
bcf344fd1b37eec09ea47fbd5b2ff2952e3006b0_s9_b1,Vitamin D supplementation prevents fractures in community‑dwelling older adults.,unrelated,,,Complementary and Alternative Treatments for Multiple Myeloma,Vitamin D,https://www.webmd.com/cancer/multiple-myeloma/complementary-alternative-treatments-multiple-myeloma,Susan Bernstein,"Laura J. Martin, MD",2025-08-09,Some research shows that vitamin D may improve bone mineral density and muscle function and lower your risk of falls. The standard dose is 400-600 IU per day. But your doctor may want you to take a higher dose if your vitamin D levels are low.,0.95,0.015330838039517403,2026-01-26T19:48:31.733099
b20a619b8996018bed83c60a12e8063148d3de30_s10_b2,Vitamin D supplementation prevents fractures in community‑dwelling older adults.,unrelated,,,Osteoporosis Medications: How They Work,"Doctors typically use raloxifene in addition to other osteoporosis medications, not by itself. Because raloxifene may also reduce the risk of breast cancer, it may be a good medicine for someone with osteoporosis who is also at high risk for breast cancer .",https://www.webmd.com/osteoporosis/features/osteoporosis-medications,"Matthew Hoffman, MD","Brunilda  Nazario, MD",2007-07-31,"Calcitriol is prescription-strength vitamin D . Since vitamin D is essential for bone health, calcitriol might be expected to help.",0.95,0.015417942777276039,2026-01-26T19:48:31.738564
d5bcbd35ec533658e42d45b79007f90212799736_s2_b2,Vitamin D supplementation prevents fractures in community‑dwelling older adults.,unrelated,,,Foods High in Vitamin D,,https://www.webmd.com/diet/foods-high-in-vitamin-d,WebMD Editorial Contributor,Christi,2024-12-26,"One of vitamin D’s most important roles is in the health of your bones. It helps your body to absorb calcium , an essential mineral for keeping your bones strong and healthy. Too little vitamin D leads to too little calcium absorption, which can result in bone weakening and osteoporosis . Insufficient vitamin D may also result in rickets in children and osteomalacia in adults, both of which are the result of soft bones.",0.95,0.04167924076318741,2026-01-26T19:48:31.743325
9192a610f2fa8a295165aeb1b56c223e30aae156_s17_b0,Routine whole‑body CT screening reduces cancer mortality in asymptomatic adults.,unrelated,,,Breast Cancer Screening and Diagnosis,Takeaways,https://www.webmd.com/breast-cancer/cm/breast-cancer-detection,Kim Painter,"Zilpah  Sheikh, MD",2025-05-08,"Breast cancer screening can help you find breast cancer early, when it’s most treatable and potentially curable, lowering the risk of death from breast cancer. While screening recommendations might seem complex, the overall message is simple: Talk to your doctor about your breast cancer risks, then decide on a screening schedule, and stick to it.",0.9452516436576843,0.01339792925864458,2026-01-26T19:50:25.022403
9d53e3d0b2fbc72f3a52b42e2c2d750a67a3c418_s8_b0,Routine whole‑body CT screening reduces cancer mortality in asymptomatic adults.,unrelated,,,Who Gets Non-Small-Cell Lung Cancer?,,https://www.webmd.com/lung-cancer/cm/who-gets-non-small-cell-lung-cancer,Rachel Reiff Ellis,"Laura J. Martin, MD",2025-03-21,Part of the reason for this is access to preventative care. Annual lung cancer screening can reduce the chances of dying from the disease by 20% if you’re in a high-risk category.,0.9439625144004822,0.0690639466047287,2026-01-26T19:50:47.977883
b6e4027ad3a2e620da94c678ef8a02de3bf0f596_s16_b0,Routine whole‑body CT screening reduces cancer mortality in asymptomatic adults.,unrelated,,,Small-Cell and Non-Small-Cell Lung Cancer: What’s the Difference?,,https://www.webmd.com/lung-cancer/small-cell-vs-non-small-cell-lung-cancer,Kara Mayer Robinson,"Sabrina  Felson, MD",2025-02-22,Lung cancer screening for high-risk people is helpful because SCLC and some types of NSCLC grow fast and lung cancer are frequently not diagnosed before you notice symptoms. Survival depends on early diagnosis.,0.9435900449752808,0.0011132669169455767,2026-01-26T19:50:47.982778
88e06ec23a1143a0a756c3dbd79ec94adfd23bb9_s29_b5,Routine whole‑body CT screening reduces cancer mortality in asymptomatic adults.,unrelated,,,Lung Cancer Diagnosis and Treatment,Lung Cancer Diagnosis FAQs,https://www.webmd.com/lung-cancer/lung-cancer-diagnosis,Stephanie Watson,"Zilpah  Sheikh, MD",2025-04-01,"Screening with low-dose CT scans can pick up lung cancer early, when it's most treatable. Guidelines recommend this test for people aged 50 to 80 with a 20 pack-year smoking history who currently smoke or quit within the last 15 years.",0.9435300827026367,0.06576016545295715,2026-01-26T19:50:47.987941
f5fe9f314a199a5840162e26196529967a0786aa_s9_b0,Routine whole‑body CT screening reduces cancer mortality in asymptomatic adults.,unrelated,,,Radiation Doses from CT Scans,What’s the Cancer Risk?,https://www.webmd.com/cancer/radiation-doses-ct-scans,Shawna Seed,"Laura J. Martin, MD",2025-02-22,"For most people, a CT scan doesn’t seem to boost the risk for cancer in a major way. Generally, the medical benefit you get from the scan outweighs the odds of any problem you might have in the future. A CT scan can give your doctor valuable information they need to treat you. In many cases, it means they can avoid using surgery to diagnose your problem.",0.9424315690994263,0.01196432113647461,2026-01-26T19:50:47.992466
6ef52797f792e6a1f162f490d5586d70b62f2848_s1_b0,Routine whole‑body CT screening reduces cancer mortality in asymptomatic adults.,unrelated,,,Cancer Screening and Prevention Under Health Reform,Free Cancer Screening Tests,https://www.webmd.com/health-insurance/webmd-cancer-screening-and-prevention,WebMD Editorial Contributors,Sarah  Goodell,2024-02-16,Experts have learned that screening tests for certain types of cancer can save lives. Here's what you need to know about screenings for some common cancers.,0.9421933889389038,0.003502867417410016,2026-01-26T19:50:47.997198
b11e0e85e4eca33e6a2a9365ccdd824cbd09aaf1_s21_b0,Routine whole‑body CT screening reduces cancer mortality in asymptomatic adults.,unrelated,,,Stage III Lung Cancer,Lung Cancer Screening,https://www.webmd.com/lung-cancer/lung-cancer-stage-3-overview,"Annie Stuart, Katie Cameron","Shruthi  N, MD",2024-10-16,"If you've smoked heavily in the past, your doctor may recommend you get screened for lung cancer each year. Using a low-dose CT scan (LDCT), a type of noninvasive X-ray , your doctor can check for early signs of lung cancer before you even have symptoms.",0.9389371871948242,0.0031678518280386925,2026-01-26T19:50:48.001679
5978465f46fe908d33601041bf77769d5ba8e448_s32_b2,Vitamin C supplementation prevents the common cold in the general population.,unrelated,,,Lupus: Causes and Treatments,,https://www.webmd.com/lupus/arthritis-lupus,"Amy Gopal, Alicia Racelis, PhD","Jabeen  Begum, MD",2024-04-18,Vitamins and supplements. Vitamins C and D and antioxidants may help with symptoms and boost your overall health.,0.9497096538543701,0.008300495333969593,2026-01-26T19:53:21.803869
ffbbe525c46ea22328dda1e2c1fd08de5f5bc29b_s0_b0,Vitamin C supplementation prevents the common cold in the general population.,unrelated,,,Understanding the Common Cold -- Prevention,How Can I Prevent the Common Cold?,https://www.webmd.com/cold-and-flu/understanding-common-cold-prevention,WebMD Editorial Contributors,"Mahammad  Juber, MD",2025-06-24,"A strong immune system is the best defense against the common colds. It may not keep you from getting infected, but you'll recover more quickly. Boost your body's natural resistance by eating well, getting adequate sleep, not smoking, and drinking plenty of water every day.",0.947593092918396,0.07407525181770325,2026-01-26T19:54:43.574536
