claim,claim_id,label
A baby died at an unnamed medical facility because its parents refused to allow a black nurse to care for the child.,UL000001,supports
Results mixed on Merck’s new painkiller,UL000002,refutes
Nerve Zap Might Ease Pain of Herniated Disk,UL000003,unproven
"McDonald's in England only sells organic milk and free-range eggs, which provides more nutritious offerings than in the U.S.",UL000004,unproven
"A forwarded email with a story by an expert in   the field of Narcissism, Dr. Sam Vaknin, that says that after observing   the actions and conduct of Barack Obama he believes the President to be a   narcissist.",UL000005,unproven
"November 29, 2017",UL000006,refutes
One out of four corporations doesn't pay a nickel in (federal income) taxes.,UL000007,unproven
Busting the vitamin C myth,UL000008,unproven
Coffee serves as an effective mosquito repellant and protection against infection by the Zika virus.,UL000009,unproven
"Over 37 million bees were killed by a large GMO cornfield planted in Ontario, Canada.",UL000010,refutes
New blood test may transform the way cancer is monitored and treated,UL000011,unproven
Researchers develop automated melanoma detector for skin cancer screening,UL000012,supports
New DNA Tests Aimed at Reducing Colon Cancer,UL000013,refutes
"Good news, bad news for former estrogen users",UL000014,unproven
A young boy named Dakota was air lifted to the hospital after having a seizure.,UL000015,unproven
Oramed says oral insulin succeeds in midstage type 2 diabetes trial,UL000016,unproven
Application of Vicks VapoRub to the soles of children's feet effectively counters nighttime cough.,UL000017,unproven
Palliative Care Consults for Patients with Advanced Cancers Reduces Hospitalization and Improves Quality of Care,UL000018,unproven
Mice regrow brain tissue after stroke with bioengineered gel,UL000019,unproven
Latex rubber is in vaccines and causes life-threatening allergic reactions.,UL000020,unproven
"KT McFarland, Trump's pick for his national security team, outed her gay brother as he was dying from AIDS.",UL000021,unproven
"In October 2019, Chick-fil-A's charitable donations were contributing to efforts to introduce the death penalty for homosexuality in Uganda.",UL000022,unproven
A widely shared social media post accurately lists reprehensible acts committed by former Maricopa County Sheriff Joe Arpaio.,UL000023,unproven
Encouraging clinical results for an antibody drug to prevent or treat HIV,UL000024,unproven
New Surgery to Treat Asthma,UL000025,unproven
"If you did the ""age challenge"" and used FaceApp to upload your picture, Russians now own all of your photographs.",UL000026,unproven
Prostate cancer treatment may spark heart problems,UL000027,unproven
Antivirals should be used to fight Covid-19.,UL000028,unproven
Early Prostate Cancer Kept at Bay in Two Studies for High-Risk Men,UL000029,unproven
Overcoming Fear of Back Pain May Spur Recovery,UL000030,unproven
A teenaged girl was drugged and nearly abducted in a Dillard's department store by fellow teens working on behalf of sex traffickers.,UL000031,unproven
"Preventive care coverage under the Affordable Care Act has already ""helped Granite Staters save money and live healthier lives.",UL000032,unproven
Doctors are now saying menstrual cramps are as painful as heart attacks.,UL000033,unproven
FDA Clears P-Cure Upright Imaging Solution  for Proton Therapy Enhancement,UL000034,unproven
Static electricity is the cause of an increase in gas station refueling fires.,UL000035,unproven
"MSG is in vaccines and is linked to birth defects, developmental delays, infertility and is banned in Europe.",UL000036,unproven
Images depict the effects of lax immigration laws on California.,UL000037,unproven
A forwarded email about Senator Edward Kennedy   called “The Last of the Kennedy Dynasty” criticizing the main stream media for omitting certain facts of his   past.  The email lists various items in the history of Ted Kennedy.,UL000038,unproven
Louis Jacobson,UL000039,unproven
Blue Buffalo pet food contains unsafe and higher-than-average levels of lead.,UL000040,unproven
Single Dose of Hallucinogenic Drug Psilocybin Relieves Anxiety and Depression in Patients with Advanced Cancer,UL000041,unproven
Hepatitis C Drug Raises Cure Rate in Late Trial,UL000042,unproven
"Tom Barrett Says ""Scott Walker wants to ban common forms of birth control, including the pill.",UL000043,unproven
FDA Approves Cystic Fibrosis Drug,UL000044,refutes
"Hormone therapy raises risk quickly, study finds",UL000045,unproven
"Under a new law, people can be arrested for conspiracy to commit murder if anyone travels out of Georgia for an abortion.",UL000046,unproven
"If you have a credit card and a kid, add your kid on as an authorized user and pay the bill on time. By the time that kid hits 18, boom 800+ credit score for them to succeed in this world.",UL000047,unproven
On using embryonic stem cells for medical research.,UL000048,unproven
Getting the focus back: There’s new hope for people with age-related macular degeneration,UL000049,unproven
Inspirational Internet postings recount the high and low points in the life of KFC founder Colonel Harland Sanders.,UL000050,unproven
On fabric it can survive for 6-12 hours. normal laundry detergent will kill it.,UL000051,unproven
Pushing Limits of New Knees,UL000052,unproven
Claims made in a widely-shared 2018 meme about the personal and family history of Congressman Beto O'Rourke are accurate.,UL000053,unproven
Scientists find nutty risk reducer: Eat more nuts,UL000054,unproven
Cancer drug 49 times more potent than Cisplatin,UL000055,unproven
Experts Issue New Guidelines on Breast Cancer Drugs,UL000056,refutes
"Nicotine patches, gum don’t prevent relapse, study finds",UL000057,unproven
New heart attack test could identify two-thirds of patients at very low risk of heart attack in the emergency department,UL000058,unproven
"In 1969, Chicago police urinated on food and supplies intended for use in a free breakfast program spearheaded by the Black Panthers.",UL000059,unproven
The race to create a new class of ovarian cancer drugs heats up,UL000060,unproven
Proton therapy controls common pediatric brain tumor with fewer long-term side effects,UL000061,unproven
A female physician from Munich described in an email the challenge of providing medical care to refugees from Syria and other Middle Eastern countries who have come to Germany.,UL000062,unproven
House Republicans are ramming through legislation ... to classify pizza as a 'vegetable' for the purpose of school lunches.,UL000063,unproven
Blood test for Alzheimer’s,UL000064,unproven
Portable Device May Relieve Migraine Pain,UL000065,unproven
Claims that President Trump is exhibiting signs of dementia in his speech and actions began circulating on social media in May 2017.,UL000066,unproven
All of the patients in the intensive care unit of a Puerto Rican hospital were killed by Hurricane Maria.,UL000067,unproven
Shot Might One Day Help Lower Cholesterol,UL000068,unproven
ADHD Stimulants Might Help a Smoker With the Disorder Cut Back on Cigarettes,UL000069,unproven
"The United States is ""the only major country on earth that doesn't guarantee health care to all people as a right, not a privilege.",UL000070,unproven
"Fourteen-year-old, terminally ill cancer patient Maddox Hyde asked that people send him Christmas cards for the holiday.",UL000071,unproven
Breast Cancer Drug Breakthrough,UL000072,supports
"U.S. Postmaster General Louis DeJoy, a political ally to U.S. President Donald Trump, ordered Postal Service carriers to ""slow the mail down"" to help Trump win the 2020 presidential election.",UL000073,unproven
"Wendy Davis is ""fighting to bring ... Bloomberg-style gun control to Texas.",UL000074,unproven
Modified Pap tests can show early warning signs of other gynecological cancers,UL000075,unproven
The state of New York has passed a bill legalizing abortion up to birth.,UL000076,unproven
Bernie Sanders told Elizabeth Warren in 2018 that a woman could not win a presidential election.,UL000077,unproven
Study Points to New Prostate Drug,UL000078,unproven
"Antibiotics could dramatically reduce STIs, study says, raising tough new questions",UL000079,unproven
Patients should avoid taking ibuprofen to relieve pain and fever associated with COVID-19 infections.,UL000080,unproven
A man caught in the explosion of one of the World Trade Center towers rode bits of the falling building down to safety.,UL000081,unproven
Drug effective in smoking cessation studies,UL000082,unproven
Study suggests sildenafil may relieve severe form of edema in swimmers,UL000083,unproven
Stem Cells May Safely Restore Motor Function In Patients Suffering From Disabilities After Stroke,UL000084,unproven
"In 1983, US children got 10 vaccines and the autism rate was 1 in 10,000.",UL000085,unproven
Landmark study may impact standard stroke treatment guidelines,UL000086,unproven
A step-dad refused to pay for his daughter's wedding at the last minute because she allowed her biological father back into her life.,UL000087,unproven
"The New York Police Department used to have ""surveillance going on in and around mosques in New York City. ... Our mayor totally cut that out.",UL000088,supports
The USWNT lost a game to a young teenage boys' team.,UL000089,unproven
"Jimmies, the sprinkles used on confections, are so named as a reference to Jim Crow.",UL000090,unproven
"Some ""20,000 Delphi salaried retirees lost up to 70 percent of their pensions"" as a result of ""political favoritism and backroom deals.",UL000091,unproven
Egg Freezing Puts The Biological Clock On Hold,UL000092,unproven
Al Gore's residence uses considerably more energy than the average American home.,UL000093,unproven
Ibuprofen patch heralds side effect free drug future,UL000094,unproven
Amendment 2 will bring kid-friendly pot candy to Florida.,UL000095,unproven
"Russia used ""GPS spoofing"" to cause the USS John McCain to collide with a merchant vessel.",UL000096,refutes
