doi,url
10.1177/2164956120973634, https://journals.sagepub.com/doi/pdf/10.1177/2164956120973634?download=true
10.1016/j.explore.2020.02.016, https://pdf.sciencedirectassets.com/273308/1-s2.0-S1550830721X00043/1-s2.0-S1550830720300999/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjENH%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJIMEYCIQD8KMzntaI9oyKOZrK0XqgjzRMoeKij0s7xfyHpW0adkAIhAP%2BGuUALiE2LDf0WKnvo%2F0l33WwyaBHrrKyy7TyAjxdaKrwFCLr%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEQBRoMMDU5MDAzNTQ2ODY1IgwqUH4%2FqUqHtC5eB5wqkAVJtagYaCsFv02Mz7xKJLJTBG54GqWXx5trBmKc%2FIS1ZtHf6PI9pjlEpAhjlgjKkR8OXsc57Xy4h8Luqx0Rvyzsa76h9F8XFk7rNiU4UMsHPwLnGmXBGsqzeGrwqierO9IGja0qiETa5qC%2BdUv1xi7qs5Z2N7EmxOAC%2Bh7BqUn7mycC%2Fc83TboDer6bnyeki4MTn2ORsUxQScGoTW3amw%2BMqE3k9tO%2B1dWLOdEWmnfKE%2B8B9aqf9AxEqOnWEitVe7Cs7za6epCgJr97DGntn0dWKxSZej1mtXHSs4ERe1LyqsWzFknQMnFnarOJ2xqfF0g1hZo%2B3bccOimDPoq7DkRVKlBpQOQ7BLTcnm4rugCf6sSs2ZqbINhlOiJwSxl8D4OFKSMjirlsmATw3d5sAqgLg3zgrVxpoMaalGhww%2FfeWjB7jWAFHAb%2FgJ3r8uuTDLh85ajJScWbjfaAnTgcebDBmisDEZ0GFoQLi8X50kpChTx7pI8pk%2FnoRJe19H6WgHtZURc%2Fvg8s4OkranFnRXw4F0cHIGxNj62z7QifxH5XF7hhKupmORsbO2lluTnvGbkmBGXeeSsQw5nGlGnFxUws1A2zYE78d8sOVxr80vSTImY2xgogYury%2FCPY%2BhcsCdcKM5MA8N4uVzTmWmExCAiO5Wz3JQbKlZ99MpQQ5yctVmw%2FJxiKnegJ42jR1INKORAD9Mw6e0gnp5FwQu%2FjWc3kF49E30nRCiTj60u66I%2BqQMhhHbmZD4%2FGh4l7G9dTeBzTWO964gngTJm2cJsbZxDGDWVoiTT66yZ6cw6ToD1X0pjBh0ATM%2Ftug9i8H51kTesZFvhMbDEpcIPCXbybRW9%2FGeCQbtjxMTTqWGcAJygQXDCzt6WoBjqwAWieu1H5hTNekaKtI%2F6CXL1XtHqsx9h18N9jc7ZvtviRbDIM8RzcsDCVCgAH4cMekZrFTsu0iVjvIrBc95NBTFD26BpumXk%2F8%2B3LnG89uGw7Tc%2Fafn3YcnTm%2F8AFJATyM5024KQMgnc6AJlVxKjjfsAcpTrcAPUUcD9mIcmNVNRsmvwKcFY7BIobBRededfmO%2BgQnsu%2FDGDVS7IrbPsKL8wUMLhlRvUTOUKeZc9kqbhl&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230919T091833Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYYIHFO7FB%2F20230919%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=1327ff2f482b0987bfcdad6656447e63d13f66032efc743945587fb1c34a6b34&hash=873eb42b88c075fcbd310620ecf643e5e228a37b4986f8e15825ef54e40044d7&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1550830720300999&tid=spdf-44940222-7b9b-4253-8611-7422be6cc520&sid=e82160b46322d8486d98a220785c08d0b922gxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=020656575f50020303&rr=8090bdf52f3239da&cc=de
10.1177/1534735416640091, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5739166/pdf/10.1177_1534735416640091.pdf
10.1016/j.eujim.2020.101068, https://pdf.sciencedirectassets.com/277409/1-s2.0-S1876382020X00023/1-s2.0-S1876382019306390/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEND%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIA2u%2BHhRg79sx6PgEIF23qfiwup3Pfp4bERgob%2B9Z7GjAiEArHwXir2wQmNS8VT6FoHnKP7t9acg2k9rBHvdLwrGsxkqvAUIuP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAFGgwwNTkwMDM1NDY4NjUiDLBGi0VHY%2BNlKhQ4KSqQBY8EuYxeEbH6cxCb9GfP%2FwmUuw4ngpix0Od%2FIld%2FnvB8I4hqRds9agqQaUhe7pqVVU8e6Zp2hMSgpTty1ZMqN2sLndKujXKMHD5qBerAx2xBOzTI0%2F1ivtQPtp5t9ZZqiFX2k0khww7XcWS6zf%2BI6LlA0n15tPYCcKpDaeBD9rvySD96R9G9lDusRXZxe67EjJx%2BOk4cWTqEMfSD51pEwU1G7G9YKYr4hS961y9FFgYmCbcQ5G98r%2BvUGXtVkoI3TRF8BxJLW9mM9x3a%2BY4nliheYzTLOquBnOLv5Ei9ttKZOYJ0VzfH%2BENSDBhJ9DCR9q%2FU85b4cKhPMPRgJ%2Ffk9tzCDNH4tWMSQ0dVBBjUYiTGl0yH4huIoyZgpWkKiXtveyD68iN87hC%2FTHy2X3646788KIHm7az%2FTzdM0Ut%2BO39XmNSnBVbiLFiajY95bWM2I%2ByLb4RfQtaRFwKzDkTD%2F%2FoscRsUPG3Vjse85LxZFkfTKLqyLEJGyQ8x0p2TX55RQsJoeyaVQ4L0w6EfXhej8zCwI9oeOwWvgfMjikpjKV7yEtihFx3LjkughkAp9u3KRlj10MGj%2FA5HqGk250IGgLLLDTL3sIKjwt%2BXOEkufIpBvNRNbM1zyyxOpsD1gLqGIGlSH%2FetVSujGJaxSdLEIj2a2kOTnndgWAwwfJI8Kv6UvAhONMutrCwke%2BXJyRKkx%2FTS8HEv3MHrMq9z8XzvD6Zsc2hZ0GIPZq%2BDkbMgsu2tLvU11xGqOsILqF3som1i1EFTnjqSY6gzaaSPn%2F25uEDSmEO1y1oM5C8EH5BA932BCC5ULo50y%2BqrngjZcszS8mq2AIQLp0%2BnksJPDknwZavFlePkvoGVpMzZb5k6FoD0MLSXpagGOrEB8vmT0IEjM%2Bnh793RDJ%2FjUvYOrPjR%2BVo9OntLSy8q0QVUWHcxJXJ7lJrFQ0AITsy5k6X99%2BBzxMr9QzLhsxXBsuq1%2BvUAdejS0EkH8G5mnTrDQAuMHRVtdHeXPRx2IS%2FOowJPkoZorfhig4bFnwnuZpfxE2mLnmlvV70x2IzYpx3hSOXtAX3w%2BP2j2X%2FoCjueA0FQLP3vPBK25CbamC2eGJMS4xf3rGMCocd4hN68deJL&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230919T080840Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYUQU45CV4%2F20230919%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=b1a8665c99fa450fa9a6e9daf81f75122281f35ecd870ccf94395213fa58e7bd&hash=fdf4225c86377cf799b2c62fab56f2fbcf8b9c1260552891e5176177f6d1a020&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1876382019306390&tid=spdf-a8e7e8da-9b14-43fc-8935-e2d2070f0f3c&sid=e82160b46322d8486d98a220785c08d0b922gxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=020656575f5055505c&rr=809057963fe930e7&cc=de
0, https://static1.squarespace.com/static/60e4901e2d0a0b11bee1edb5/t/621e8cf4c5313c25242bb198/1646169332187/Vogler+Whole+Person+Twisted+Back.pdf
10.1371/journal.pone.0094207, https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0094207&type=printable
10.2147/PPA.S145221, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5859899/pdf/ppa-12-375.pdf
10.1155/2016/3642659, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5143743/pdf/ECAM2016-3642659.pdf
10.1155/2017/4904930, https://downloads.hindawi.com/journals/ecam/2017/4904930.pdf
10.1159/000478981, https://karger.com/cmr/article-pdf/24/4/225/2406172/000478981.pdf
